time,TEMP_DAILY_MIN,TEMP_DAILY_MAX,PRECIP
1950-07-04 00:00:00,7.16536725,21.84627118,0.0
1950-07-05 00:00:00,7.65265537,23.77740111,0.0
1950-07-06 00:00:00,10.1383616,28.44949149,1.74062147
1950-07-07 00:00:00,14.91225991,28.42288136,5.21785311
1950-07-08 00:00:00,17.04451983,27.50581915,0.96903955
1950-07-09 00:00:00,17.06045193,29.79581919,1.45508475
1950-07-10 00:00:00,18.39790957,26.71615819,0.19355932
1950-07-11 00:00:00,18.02672318,27.13293788,0.51785311
1950-07-12 00:00:00,10.66259886,24.44039548,0.03672316
1950-07-13 00:00:00,6.39367232,24.14841812,0.12694915
1950-07-14 00:00:00,10.28146893,27.90141243,1.01073446
1950-07-15 00:00:00,13.5318079,25.6016949,2.22474576
1950-07-16 00:00:00,9.89327681,22.87960452,7.03491523
1950-07-17 00:00:00,10.73028244,25.02028249,1.87350281
1950-07-18 00:00:00,11.28129943,23.97197738,3.11807909
1950-07-19 00:00:00,12.00542373,25.69988704,2.81757061
1950-07-20 00:00:00,11.9543503,23.41028256,3.55338981
1950-07-21 00:00:00,11.01830507,24.52293787,0.31774011
1950-07-22 00:00:00,10.00299432,23.40378533,0.48672316
1950-07-23 00:00:00,9.93372881,23.05497179,0.65887006
1950-07-24 00:00:00,10.79830511,25.87248591,1.45423728
1950-07-25 00:00:00,12.67033896,27.8959887,1.12152543
1950-07-26 00:00:00,11.67406779,29.57954799,0.05288136
1950-07-27 00:00:00,13.5898305,31.6564407,0.0
1950-07-28 00:00:00,14.05932202,32.29728825,1.97327682
1950-07-29 00:00:00,16.45406774,32.34960447,3.22050847
1950-07-30 00:00:00,12.69096046,29.22096035,0.43564972
1950-07-31 00:00:00,11.99485871,24.46581926,0.92412429
1950-08-01 00:00:00,11.81412429,23.54920903,0.07615819
1950-08-02 00:00:00,9.12192092,26.51124295,0.0
1950-08-03 00:00:00,10.08107343,28.4841808,0.0
1950-08-04 00:00:00,11.669661,28.51745761,0.01435028
1950-08-05 00:00:00,13.969887,27.38745764,0.34627119
1950-08-06 00:00:00,16.54090397,30.60084742,0.98474576
1950-08-07 00:00:00,13.95576273,31.44468924,2.46700566
1950-08-08 00:00:00,13.51943502,31.97039551,0.17485876
1950-08-09 00:00:00,12.80271185,30.21,0.42310734
1950-08-10 00:00:00,11.73124296,25.50152543,4.71197743
1950-08-11 00:00:00,12.27593221,24.14847466,2.01915254
1950-08-12 00:00:00,12.07717513,25.02192085,1.5837288
1950-08-13 00:00:00,13.41734461,23.83401129,5.67299434
1950-08-14 00:00:00,12.36677968,29.67231644,2.7264407
1950-08-15 00:00:00,14.55559324,31.38559318,0.0
1950-08-16 00:00:00,13.77135593,29.22999999,0.0
1950-08-17 00:00:00,5.03717515,23.3778531,0.15610169
1950-08-18 00:00:00,6.52022597,23.94056497,0.76564971
1950-08-19 00:00:00,3.7060452,19.82655355,0.01847458
1950-08-20 00:00:00,2.23096045,22.99745772,0.01124294
1950-08-21 00:00:00,6.93762709,22.64903956,0.10022599
1950-08-22 00:00:00,8.98881356,27.00316385,0.08943503
1950-08-23 00:00:00,6.60367232,24.72994347,0.43768362
1950-08-24 00:00:00,8.329322,20.19644071,1.69728814
1950-08-25 00:00:00,3.1499435,20.23033894,1.4579096
1950-08-26 00:00:00,10.11423732,20.34661024,2.0481921
1950-08-27 00:00:00,9.50915254,24.9750847,0.38677966
1950-08-28 00:00:00,9.77310734,27.72587571,0.06079096
1950-08-29 00:00:00,12.19548024,27.23892659,0.56361582
1950-08-30 00:00:00,10.28299434,29.32254235,0.06531073
1950-08-31 00:00:00,10.33949153,28.43813558,0.0
1950-09-01 00:00:00,10.19966102,29.91050845,0.0
1950-09-02 00:00:00,9.980113,32.53587582,0.0
1950-09-03 00:00:00,8.09327685,28.09689263,0.0
1950-09-04 00:00:00,7.63514125,28.35983053,0.0
