time,TEMP_DAILY_MIN,TEMP_DAILY_MAX,PRECIP_mm-d,PRECIP_mm-h,PRECIP_mm-min,PRECIP_mm-s
1950-05-23 00:00:00,12.94406778,29.9246893,0.35836158,0.0149317325,0.000248862208333333,4.14770347222222E-06
1950-05-24 00:00:00,8.59937854,22.09186445,0.57271186,0.0238629941666667,0.000397716569444444,6.62860949074074E-06
1950-05-25 00:00:00,3.61056497,17.9567796,0.01248588,0.000520245,0.00000867075,0.0000001445125
1950-05-26 00:00:00,3.56118644,20.68751412,0,0,0,0
1950-05-27 00:00:00,5.61892655,22.08847463,0.32570622,0.0135710925,0.000226184875,3.76974791666667E-06
1950-05-28 00:00:00,8.32474577,20.98903949,1.29649717,0.0540207154166667,0.000900345256944445,1.50057542824074E-05
1950-05-29 00:00:00,9.33519776,25.02248595,0.46903955,0.0195433145833333,0.000325721909722222,5.42869849537037E-06
1950-05-30 00:00:00,10.03118645,21.79005654,0.22762712,0.00948446333333333,0.000158074388888889,2.63457314814815E-06
1950-05-31 00:00:00,6.78757062,19.95836159,0.0239548,0.000998116666666667,1.66352777777778E-05,2.7725462962963E-07
1950-06-01 00:00:00,6.94932203,23.57180795,0,0,0,0
1950-06-02 00:00:00,5.76548022,20.32796612,0,0,0,0
1950-06-03 00:00:00,0.58813559,20.45033898,0,0,0,0
1950-06-04 00:00:00,8.91644069,27.08977404,0,0,0,0
1950-06-05 00:00:00,11.43293783,31.36412435,0.00474576,0.00019774,3.29566666666667E-06,5.49277777777778E-08
1950-06-06 00:00:00,9.72960449,35.07237284,0.8159887,0.0339995291666667,0.000566658819444444,9.44431365740741E-06
1950-06-07 00:00:00,11.61988695,29.28045196,2.06355933,0.08598163875,0.0014330273125,2.38837885416667E-05
1950-06-08 00:00:00,11.90723162,22.50033899,1.92932204,0.0803884183333333,0.00133980697222222,2.23301162037037E-05
1950-06-09 00:00:00,6.03903954,18.41497171,0.27621469,0.0115089454166667,0.000191815756944444,3.19692928240741E-06
1950-06-10 00:00:00,7.67090395,24.9250283,0,0,0,0
1950-06-11 00:00:00,8.47847458,28.49757068,1.13101695,0.04712570625,0.0007854284375,1.30904739583333E-05
1950-06-12 00:00:00,14.0317514,28.80559318,7.42621463,0.309425609583333,0.00515709349305556,8.59515582175926E-05
1950-06-13 00:00:00,14.39892657,29.71689271,1.13700565,0.0473752354166667,0.000789587256944444,1.31597876157407E-05
1950-06-14 00:00:00,14.49892653,29.9518644,0.31214689,0.0130061204166667,0.000216768673611111,3.61281122685185E-06
1950-06-15 00:00:00,15.44435027,31.10819209,1.61915255,0.0674646895833333,0.00112441149305556,1.87401915509259E-05
1950-06-16 00:00:00,8.98333335,24.8070057,0.29079096,0.01211629,0.000201938166666667,3.36563611111111E-06
1950-06-17 00:00:00,7.24112993,18.3646329,0.40451977,0.0168549904166667,0.000280916506944444,4.68194178240741E-06
1950-06-18 00:00:00,9.50525424,20.30909616,0.0240113,0.00100047083333333,1.66745138888889E-05,2.77908564814815E-07
1950-06-19 00:00:00,7.90519775,26.43039548,0.35632768,0.0148469866666667,0.000247449777777778,4.12416296296296E-06
1950-06-20 00:00:00,9.62525425,25.070678,0.21423729,0.00892655375,0.000148775895833333,2.47959826388889E-06
1950-06-21 00:00:00,9.40152542,32.13903936,0.60706215,0.02529425625,0.0004215709375,7.02618229166667E-06
1950-06-22 00:00:00,15.97406778,35.04152546,0.98723164,0.0411346516666667,0.000685577527777778,1.14262921296296E-05
1950-06-23 00:00:00,13.18005646,30.01870046,2.63655367,0.109856402916667,0.00183094004861111,3.05156674768518E-05
1950-06-24 00:00:00,13.16096044,25.90451979,9.77666667,0.40736111125,0.00678935185416667,0.000113155864236111
1950-06-25 00:00:00,12.28079094,22.34853112,14.19310736,0.591379473333333,0.00985632455555556,0.000164272075925926
1950-06-26 00:00:00,9.81649713,22.87062148,0.70276836,0.029282015,0.000488033583333333,8.13389305555556E-06
1950-06-27 00:00:00,10.0240113,27.39090393,0.86621469,0.03609227875,0.000601537979166667,1.00256329861111E-05
1950-06-28 00:00:00,8.19610172,22.81604522,0.6020339,0.0250847458333333,0.000418079097222222,6.96798495370371E-06
1950-06-29 00:00:00,8.37220341,24.8987006,0.59384181,0.02474340875,0.000412390145833333,6.87316909722222E-06
1950-06-30 00:00:00,7.77457629,25.6280791,0.26124294,0.0108851225,0.000181418708333333,3.02364513888889E-06
1950-07-01 00:00:00,12.8367232,25.39898303,5.2158757,0.217328154166667,0.00362213590277778,6.0368931712963E-05
1950-07-02 00:00:00,10.49344634,24.71559321,8.76627122,0.365261300833333,0.00608768834722222,0.000101461472453704
1950-07-03 00:00:00,12.31310735,22.81909609,1.25361582,0.0522339925,0.000870566541666667,1.45094423611111E-05
1950-07-04 00:00:00,7.16536725,21.84627118,0,0,0,0
1950-07-05 00:00:00,7.65265537,23.77740111,0,0,0,0
1950-07-06 00:00:00,10.1383616,28.44949149,1.74062147,0.0725258945833333,0.00120876490972222,2.01460818287037E-05
1950-07-07 00:00:00,14.91225991,28.42288136,5.21785311,0.21741054625,0.00362350910416667,6.03918184027778E-05
1950-07-08 00:00:00,17.04451983,27.50581915,0.96903955,0.0403766479166667,0.000672944131944445,1.12157355324074E-05
1950-07-09 00:00:00,17.06045193,29.79581919,1.45508475,0.06062853125,0.00101047552083333,1.68412586805556E-05
1950-07-10 00:00:00,18.39790957,26.71615819,0.19355932,0.00806497166666667,0.000134416194444444,2.24026990740741E-06
1950-07-11 00:00:00,18.02672318,27.13293788,0.51785311,0.0215772129166667,0.000359620215277778,5.99367025462963E-06
1950-07-12 00:00:00,10.66259886,24.44039548,0.03672316,0.00153013166666667,2.55021944444444E-05,4.25036574074074E-07
1950-07-13 00:00:00,6.39367232,24.14841812,0.12694915,0.00528954791666667,8.81591319444444E-05,1.46931886574074E-06
1950-07-14 00:00:00,10.28146893,27.90141243,1.01073446,0.0421139358333333,0.000701898930555555,1.16983155092593E-05
1950-07-15 00:00:00,13.5318079,25.6016949,2.22474576,0.09269774,0.00154496233333333,2.57493722222222E-05
1950-07-16 00:00:00,9.89327681,22.87960452,7.03491523,0.293121467916667,0.00488535779861111,8.14226299768519E-05
1950-07-17 00:00:00,10.73028244,25.02028249,1.87350281,0.0780626170833333,0.00130104361805556,2.16840603009259E-05
1950-07-18 00:00:00,11.28129943,23.97197738,3.11807909,0.129919962083333,0.00216533270138889,3.60888783564815E-05
1950-07-19 00:00:00,12.00542373,25.69988704,2.81757061,0.117398775416667,0.00195664625694444,3.26107709490741E-05
1950-07-20 00:00:00,11.9543503,23.41028256,3.55338981,0.14805790875,0.0024676318125,0.000041127196875
1950-07-21 00:00:00,11.01830507,24.52293787,0.31774011,0.01323917125,0.000220652854166667,3.67754756944444E-06
1950-07-22 00:00:00,10.00299432,23.40378533,0.48672316,0.0202801316666667,0.000338002194444444,5.63336990740741E-06
1950-07-23 00:00:00,9.93372881,23.05497179,0.65887006,0.0274529191666667,0.000457548652777778,7.62581087962963E-06
1950-07-24 00:00:00,10.79830511,25.87248591,1.45423728,0.06059322,0.001009887,0.00001683145
1950-07-25 00:00:00,12.67033896,27.8959887,1.12152543,0.04673022625,0.000778837104166667,1.29806184027778E-05
1950-07-26 00:00:00,11.67406779,29.57954799,0.05288136,0.00220339,3.67231666666667E-05,6.12052777777778E-07
1950-07-27 00:00:00,13.5898305,31.6564407,0,0,0,0
1950-07-28 00:00:00,14.05932202,32.29728825,1.97327682,0.0822198675,0.001370331125,2.28388520833333E-05
1950-07-29 00:00:00,16.45406774,32.34960447,3.22050847,0.134187852916667,0.00223646421527778,3.7274403587963E-05
1950-07-30 00:00:00,12.69096046,29.22096035,0.43564972,0.0181520716666667,0.000302534527777778,5.04224212962963E-06
1950-07-31 00:00:00,11.99485871,24.46581926,0.92412429,0.03850517875,0.000641752979166667,1.06958829861111E-05
